,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
905,9406520830,3/26/2015,314950.0,3,2.25,1654,8479,2.0,NO,NONE,Average,7 Average,1654,0.0,1995,,98038,47.3627,-122.037,1654,8479
2938,1494300110,6/3/2014,550000.0,4,2.5,2170,9600,1.0,NO,NONE,Average,7 Average,1460,710.0,1980,0.0,98052,47.6789,-122.116,1940,8400
10509,1766600075,9/2/2014,389100.0,2,1.0,840,5400,1.0,NO,NONE,Good,7 Average,840,0.0,1948,0.0,98118,47.5489,-122.271,1340,5400
6063,7016000440,7/16/2014,525000.0,5,2.25,2500,8621,1.5,NO,NONE,Good,7 Average,2500,0.0,1968,0.0,98034,47.7379,-122.185,1980,7395
19306,5458300580,10/1/2014,478000.0,2,2.0,1200,1867,1.0,NO,NONE,Average,7 Average,600,600.0,1924,1998.0,98109,47.627,-122.345,1790,2221
5489,1425059180,3/24/2015,736000.0,3,2.25,2470,11603,2.0,NO,AVERAGE,Average,8 Good,1540,930.0,1988,,98052,47.6569,-122.123,2850,11250
10404,2768301182,12/4/2014,439950.0,3,2.0,1230,1613,2.0,NO,NONE,Average,8 Good,1010,220.0,2003,0.0,98107,47.6661,-122.37,1610,1873
18883,984220330,8/24/2014,325000.0,4,2.5,1820,9161,1.0,NO,NONE,Good,7 Average,1220,600.0,1975,0.0,98058,47.4333,-122.168,1860,7650
11504,3179101070,6/30/2014,880000.0,4,2.75,3220,4392,1.5,NO,NONE,Good,9 Better,2320,900.0,1931,0.0,98105,47.6713,-122.276,2310,5795
6723,9429000170,3/26/2015,617950.0,4,2.5,2410,7950,2.0,NO,NONE,Average,8 Good,2410,0.0,1997,0.0,98034,47.7185,-122.226,1920,7713
16210,2123049502,6/23/2014,215000.0,3,2.0,1340,8505,1.0,,NONE,Average,6 Low Average,1340,0.0,1931,,98168,47.4727,-122.297,1370,9000
6350,3751605432,5/13/2014,239950.0,3,1.0,1900,33888,1.5,NO,NONE,Good,5 Fair,1900,0.0,1942,,98001,47.2738,-122.271,1430,19200
10540,3293700105,4/28/2015,385000.0,3,2.0,1600,10318,1.0,,NONE,Average,7 Average,930,670.0,1941,0.0,98133,47.7466,-122.347,1590,7040
18256,8581400015,7/22/2014,189900.0,2,1.0,1000,4179,1.0,,NONE,Very Good,5 Fair,1000,0.0,1914,,98002,47.297,-122.227,1010,6327
3102,5151600195,5/4/2015,283200.0,4,1.75,1830,12540,1.0,,NONE,Good,8 Good,1130,700.0,1958,,98003,47.3348,-122.324,2020,12540
19692,7324900016,10/21/2014,1450000.0,5,3.5,4170,9090,2.0,NO,NONE,Average,10 Very Good,4170,0.0,2008,0.0,98004,47.5918,-122.196,1930,13635
517,925059288,5/7/2015,750000.0,3,2.5,2400,7745,2.0,NO,NONE,Average,9 Better,2400,0.0,2001,0.0,98033,47.6734,-122.173,2080,8615
4051,5040800015,10/1/2014,703011.0,2,1.0,1370,5922,1.0,,AVERAGE,Average,8 Good,1130,240.0,1941,0.0,98199,47.6473,-122.406,2460,6759
5007,2888000020,3/2/2015,455000.0,5,2.0,2500,7860,1.0,,NONE,Average,7 Average,1040,1460.0,1963,0.0,98034,47.7212,-122.226,2060,9684
3789,4435000705,7/8/2014,160000.0,3,1.0,1350,8700,1.5,NO,NONE,Average,6 Low Average,1350,0.0,1942,0.0,98188,47.4497,-122.289,1300,8700
11535,7298020140,10/21/2014,515000.0,3,2.75,3290,11441,2.0,NO,NONE,Good,10 Very Good,3290,0.0,1988,0.0,98023,47.3052,-122.34,2600,12070
12009,3226049267,4/25/2015,289500.0,3,1.0,1200,5525,1.0,NO,NONE,Fair,7 Average,1200,0.0,1947,0.0,98115,47.6981,-122.325,1580,7200
16271,9475960050,6/20/2014,565000.0,4,2.75,3260,4900,2.0,NO,NONE,Average,9 Better,3260,0.0,2013,0.0,98059,47.4812,-122.123,3260,6132
11307,3396830310,4/7/2015,729000.0,4,2.5,2450,27081,2.0,NO,NONE,Average,8 Good,2450,0.0,1985,0.0,98052,47.7177,-122.104,2630,12025
11272,5078400160,6/5/2014,1800000.0,5,4.5,4400,15580,2.0,NO,NONE,Average,11 Excellent,3390,1010.0,2003,,98004,47.6232,-122.207,2150,14249
11304,9406500310,11/19/2014,240000.0,2,1.5,1078,1263,2.0,NO,NONE,Average,7 Average,1078,0.0,1990,0.0,98028,47.7532,-122.244,1078,1263
13671,2427910040,8/26/2014,515000.0,4,2.5,2890,15067,2.0,,NONE,Average,9 Better,2890,0.0,2003,0.0,98024,47.5666,-121.907,3090,15398
9071,2291400236,6/12/2014,363000.0,3,3.25,1651,1779,2.0,NO,NONE,Average,8 Good,1341,310.0,2008,0.0,98133,47.7076,-122.346,1650,2908
4750,4292300010,5/27/2014,405000.0,3,1.75,1980,8100,1.0,NO,NONE,Good,7 Average,1310,670.0,1949,0.0,98133,47.7353,-122.331,1450,8212
813,3276930400,10/22/2014,625000.0,4,2.25,2220,36085,2.0,,NONE,Average,9 Better,2220,0.0,1989,0.0,98075,47.5839,-121.991,3000,36906
10820,7779200105,7/18/2014,945000.0,4,2.25,2420,9000,1.0,NO,EXCELLENT,Very Good,9 Better,2000,420.0,1967,,98146,47.4884,-122.363,2400,9035
8474,7399000360,5/13/2015,330000.0,4,1.75,1720,8300,1.0,NO,NONE,Good,8 Good,1720,0.0,1965,0.0,98055,47.4654,-122.194,1840,8300
13453,4385701285,12/23/2014,1270000.0,4,3.25,3020,4000,1.5,NO,NONE,Very Good,8 Good,1920,1100.0,1927,0.0,98112,47.6395,-122.279,2400,4000
5100,3797000680,11/25/2014,549000.0,3,2.0,1340,3000,2.0,NO,NONE,Very Good,7 Average,1340,0.0,1905,0.0,98103,47.6857,-122.349,1120,3000
15949,8151601190,12/3/2014,180000.0,5,1.0,1460,11726,1.5,NO,NONE,Average,6 Low Average,1290,170.0,1936,0.0,98146,47.5039,-122.361,1460,10450
8522,293720180,12/30/2014,415000.0,3,2.5,1980,4274,2.0,NO,NONE,Average,7 Average,1980,0.0,2003,0.0,98028,47.7767,-122.239,2000,4394
7302,1829700050,7/24/2014,335000.0,2,1.0,1440,8842,1.0,NO,NONE,Average,7 Average,840,600.0,1950,0.0,98155,47.7443,-122.325,1650,8461
16742,2770601763,3/23/2015,450000.0,3,3.5,1790,1288,3.0,NO,NONE,Average,8 Good,1390,400.0,2000,0.0,98199,47.651,-122.384,1560,1426
10402,2224079050,7/18/2014,810000.0,4,3.5,3980,209523,2.0,NO,AVERAGE,Average,9 Better,3980,0.0,2006,0.0,98024,47.5574,-121.89,2220,65775
11444,7399000350,11/4/2014,300000.0,3,2.0,1550,8300,1.0,NO,NONE,Good,8 Good,1550,0.0,1965,0.0,98055,47.4654,-122.195,1860,8000
8805,7950300775,12/4/2014,350000.0,1,1.0,790,4590,1.0,NO,NONE,Average,6 Low Average,790,0.0,1911,0.0,98118,47.5677,-122.285,1070,4590
16874,1424130050,12/16/2014,995000.0,5,4.0,5610,22529,2.0,NO,NONE,Average,11 Excellent,4090,1520.0,1996,0.0,98072,47.7239,-122.092,3860,24751
14438,9477100330,12/12/2014,400000.0,3,1.75,1510,8385,1.0,,NONE,Average,7 Average,1510,0.0,1968,0.0,98034,47.7279,-122.195,1570,7480
3107,2641800015,11/24/2014,158800.0,3,1.0,960,8291,1.0,NO,NONE,Average,6 Low Average,960,0.0,1950,0.0,98146,47.5006,-122.334,1110,8231
2006,1112000125,9/30/2014,463500.0,1,1.0,1090,8750,1.0,NO,NONE,Good,6 Low Average,1090,0.0,1924,,98118,47.54,-122.269,1830,5000
11335,4315700505,2/10/2015,535000.0,4,1.75,1570,3250,1.5,NO,NONE,Very Good,8 Good,1570,0.0,1928,0.0,98136,47.5405,-122.393,1570,5720
5384,4077800029,10/27/2014,630000.0,4,1.75,1930,10210,1.5,NO,AVERAGE,Average,8 Good,1670,260.0,1941,0.0,98125,47.7078,-122.277,2730,6600
7668,3083000355,12/4/2014,385000.0,5,2.0,2020,4000,2.0,NO,NONE,Average,7 Average,2020,0.0,1950,0.0,98144,47.5799,-122.305,1960,4000
2733,9510310030,7/28/2014,535000.0,4,2.75,2710,45963,2.0,,NONE,Average,9 Better,2710,0.0,1995,0.0,98045,47.4745,-121.724,2710,33955
5326,3629930170,5/14/2014,723000.0,4,2.5,2700,4004,2.0,NO,NONE,Average,9 Better,2700,0.0,2004,0.0,98029,47.5521,-121.995,2260,4459
12981,6745700150,7/10/2014,749000.0,4,1.5,2130,5000,2.0,NO,NONE,Good,8 Good,2130,0.0,1920,0.0,98144,47.5828,-122.291,2560,5000
16765,5104540500,6/24/2014,589950.0,4,2.5,3190,8195,2.0,NO,NONE,Average,10 Very Good,3190,0.0,2006,0.0,98038,47.3555,-122.003,3400,7607
11805,5438000060,11/3/2014,250000.0,3,2.25,1620,10850,1.0,NO,NONE,Average,7 Average,1620,0.0,1966,0.0,98055,47.4437,-122.194,1910,10568
5964,5468780250,5/8/2014,325900.0,4,2.5,2320,6270,2.0,NO,NONE,Average,8 Good,2320,0.0,2004,0.0,98042,47.3501,-122.14,2150,6270
1693,2822079012,4/10/2015,340000.0,3,1.75,1740,46580,1.0,NO,NONE,Good,7 Average,1740,0.0,1980,0.0,98010,47.3583,-121.927,1576,54685
14443,2597520790,4/23/2015,765000.0,3,2.5,2310,11993,2.0,NO,NONE,Average,9 Better,2310,0.0,1988,0.0,98006,47.5438,-122.139,2830,10031
18567,1079450410,4/17/2015,450000.0,5,2.5,2510,10240,1.0,NO,NONE,Good,8 Good,1410,1100.0,1984,,98059,47.4732,-122.141,2170,10500
6779,3276930420,9/12/2014,585000.0,4,2.5,2330,45860,2.0,NO,NONE,Average,9 Better,2330,0.0,1989,0.0,98075,47.5842,-121.992,2930,5020
4385,9237800100,2/4/2015,580000.0,3,2.25,1640,8625,1.0,NO,NONE,Average,8 Good,1320,320.0,1987,0.0,98052,47.6772,-122.153,1770,9476
18195,1762600090,4/24/2015,1210000.0,4,2.5,3430,35120,2.0,NO,NONE,Average,10 Very Good,3430,0.0,1984,0.0,98033,47.6484,-122.182,3920,35230
10157,4141400030,12/1/2014,605000.0,4,1.75,2250,10108,1.0,NO,NONE,Good,8 Good,2250,0.0,1967,0.0,98008,47.5922,-122.118,2050,9750
16445,6414100231,10/15/2014,440000.0,4,1.75,1920,7986,1.0,NO,NONE,Average,7 Average,960,960.0,1952,0.0,98125,47.7209,-122.318,1700,7452
3289,7701961030,1/29/2015,875000.0,4,2.5,3600,21794,2.0,NO,NONE,Good,11 Excellent,3600,0.0,1990,0.0,98077,47.7121,-122.072,3410,19864
18754,8917100153,9/10/2014,585000.0,4,2.5,2370,15200,1.0,NO,NONE,Average,8 Good,1660,710.0,1975,0.0,98052,47.6295,-122.089,2360,13879
17259,2460500020,3/30/2015,305000.0,4,1.75,2370,10140,1.0,NO,NONE,Average,7 Average,1460,910.0,1968,0.0,98001,47.3352,-122.278,1450,7800
2499,3298720030,4/17/2015,560000.0,4,1.75,2150,8555,1.0,NO,AVERAGE,Good,7 Average,1460,690.0,1982,0.0,98106,47.5344,-122.345,1480,7405
19655,4055700784,8/15/2014,720000.0,4,2.5,3420,17038,2.0,NO,NONE,Average,9 Better,3420,0.0,2007,0.0,98034,47.718,-122.241,2520,14190
18678,7524600120,3/5/2015,250000.0,3,2.0,1560,32137,1.0,NO,NONE,Very Good,7 Average,910,650.0,1976,0.0,98092,47.3197,-122.117,1470,29150
8369,2025700180,11/20/2014,300000.0,3,2.25,1760,5421,2.0,NO,NONE,Average,7 Average,1760,0.0,1991,0.0,98038,47.3484,-122.037,1570,6000
17550,8127700210,4/27/2015,600000.0,2,1.75,1560,3200,1.0,NO,NONE,Very Good,7 Average,880,680.0,1946,,98199,47.6419,-122.394,2060,4940
9469,1931300665,10/9/2014,850000.0,3,3.0,1910,4800,1.5,NO,NONE,Average,9 Better,1910,0.0,1900,,98103,47.6572,-122.346,1280,1310
11114,1761300340,6/10/2014,251750.0,3,2.0,1320,7200,1.0,NO,NONE,Very Good,7 Average,1320,0.0,1975,0.0,98031,47.3947,-122.174,1540,7200
11866,2288900140,12/18/2014,1620000.0,3,3.5,3490,4000,2.0,NO,NONE,Average,9 Better,2570,920.0,2009,0.0,98112,47.6385,-122.281,1880,4000
52,7518505990,12/31/2014,600000.0,3,1.75,1410,4080,1.0,NO,NONE,Good,7 Average,1000,410.0,1950,,98117,47.6808,-122.384,1410,4080
5272,1787600224,3/10/2015,390000.0,3,2.5,1640,6991,1.0,NO,NONE,Average,7 Average,1110,530.0,1967,0.0,98125,47.7255,-122.327,1860,7342
18989,423059039,3/21/2015,365000.0,3,2.0,2030,8649,1.0,NO,NONE,Average,7 Average,2030,0.0,1998,0.0,98056,47.5082,-122.166,1760,7200
18636,2024059059,10/10/2014,693000.0,3,2.25,2090,45535,1.0,NO,AVERAGE,Very Good,8 Good,1280,810.0,1952,,98006,47.5538,-122.191,3090,12889
2574,1099610260,8/26/2014,212000.0,4,1.75,1250,12705,1.0,NO,NONE,Good,7 Average,1250,0.0,1971,0.0,98023,47.302,-122.382,1390,8550
18762,1062100100,6/26/2014,424000.0,4,2.0,2100,4857,2.0,NO,NONE,Average,8 Good,2100,0.0,1965,1984.0,98155,47.7521,-122.279,1450,5965
8877,324059161,10/13/2014,920000.0,4,2.5,3810,13579,2.0,NO,NONE,Average,10 Very Good,3810,0.0,2003,0.0,98007,47.6006,-122.153,3310,9270
16556,2923039243,11/13/2014,340000.0,4,1.0,1200,11834,1.0,YES,GOOD,Average,6 Low Average,1200,0.0,1972,0.0,98070,47.4557,-122.443,1670,47462
4220,2868300115,8/21/2014,271500.0,3,1.75,1995,18360,2.0,NO,NONE,Average,7 Average,1995,0.0,1957,0.0,98198,47.4129,-122.322,1980,13640
5861,7349800780,8/5/2014,175000.0,2,1.75,1050,9800,1.5,,NONE,Good,6 Low Average,1050,0.0,1975,0.0,98019,47.7595,-121.473,1230,12726
8030,9522100375,7/15/2014,775000.0,5,1.5,1720,5000,1.5,NO,NONE,Average,8 Good,1720,0.0,1915,0.0,98103,47.6627,-122.355,1720,5000
8937,4345000210,3/30/2015,230000.0,3,2.25,1490,8722,2.0,,NONE,Average,7 Average,1490,0.0,1997,0.0,98030,47.3648,-122.185,1510,8061
19053,6613001241,8/11/2014,1420000.0,4,3.0,3110,4408,2.5,NO,GOOD,Good,10 Very Good,2510,600.0,1931,0.0,98105,47.6583,-122.27,3250,5669
