,Unnamed: 0.1,date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,geometry,police_dist,police_station_name,medical_dist,medical_name,school_dist,school_name,farmers_market_dist,farmers_market_name,view_y_n,basement_y_n,grade_10 Very Good,grade_11 Excellent,grade_5 Fair,grade_6 Low Average,grade_7 Average,grade_8 Good,grade_9 Better,condition_Average,condition_Fair,condition_Good,condition_Poor,condition_Very Good
14718,14718,5/28/2014,4,2.25,1830,9485,1.0,1200,630.0,1989,0.0,98023,47.2995,-122.387,1730,10109,POINT (-122.387 47.2995),0.06060160012402475,Federal Way Police Department,0.05616515086953816,Virginia Mason Clinic-Federal Way,0.008836557219083599,Brigadoon Elementary School,0.08016833732845105,Federal Way Farmers Market,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8161,8161,4/14/2015,3,1.75,1480,7725,1.5,1480,0.0,1981,0.0,98059,47.483,-122.163,1720,8379,POINT (-122.163 47.483),0.0401147454726998,Fairwood Storefront,0.0089244635637353,Valley Medical Highlands Primary Care,0.0133562740155328,Honey Dew Elementary School,0.0451211697205629,Renton Farmers Market,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10859,10859,7/7/2014,4,2.5,2400,6137,2.0,2400,0.0,1990,0.0,98074,47.6187,-122.04,2120,7468,POINT (-122.04 47.6187),0.01766800968185173,Sammamish Police Department,0.0356193104621978,Swedish Pine Lake Primary Care,0.010613888365045863,Eastlake High School,0.046581703645731776,Sammamish Farmers Market,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
3649,3649,6/6/2014,3,1.0,1560,14333,1.0,1560,0.0,1953,0.0,98166,47.432,-122.348,1640,14333,POINT (-122.348 47.432),0.01393957315686821,Normandy Park Police Department,0.02593824615530664,Highline Medical Center - Main Campus,0.009591954079150186,Marvista Elementary School,0.03573113238666812,Burien Farmers Market,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7470,7470,11/20/2014,3,2.75,1750,9166,1.0,1170,580.0,1979,0.0,98155,47.7696,-122.325,1810,8760,POINT (-122.325 47.7696),0.01954335535460008,Shoreline Police Department,0.019314947742420447,UW Clinic Shoreline,0.014143034533413331,St. Mark Parish School,0.03632138043069803,Shoreline Farmers Market,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8888,8888,4/8/2015,3,1.0,1660,8839,1.0,1660,0.0,1947,0.0,98155,47.7485,-122.3,1230,9236,POINT (-122.3 47.7485),0.023073108879118804,Lake Forest Park Police Department,0.04698237210977183,Kindred Hospital Seattle - Northgate,0.004102907149244725,Kellogg Middle School,0.02145650208405506,Lake Forest Park Farmers Market,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10493,10493,4/22/2015,3,1.0,1020,5950,1.0,880,140.0,1950,0.0,98106,47.5436,-122.357,1800,5950,POINT (-122.357 47.5436),0.009122741724820851,Seattle Police Southwest Precinct,0.013181204480341591,Highline West Seattle Mental Health Center,0.004321754632064876,Captain Stephen E. Sanislo Elementary School,0.03559887797567487,West Seattle Farmers Market,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19164,19164,11/18/2014,4,2.25,1970,7532,1.0,1390,580.0,1983,0.0,98052,47.7219,-122.109,1970,8248,POINT (-122.109 47.7219),0.04677966293863321,Redmond Police Department,0.04486072614148105,HealthPoint Redmond,0.0055602771645843155,Sunrise Elementary School-Northshore,0.04422084167677296,Redmond Saturday Market,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
5708,5708,6/30/2014,3,1.75,1410,8100,2.0,1410,0.0,1985,0.0,98038,47.3617,-122.046,1560,8100,POINT (-122.046 47.3617),0.02936326806622153,Maple Valley Police Department,0.010360553336352659,Valley Medical Lake Sawyer Primary Care,0.017637009916190646,Tahoma High School,0.020243347718560848,Maple Valley Farmers Market,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5079,5079,5/19/2014,4,2.5,3060,10043,1.0,1700,1360.0,1968,0.0,98133,47.7387,-122.337,1630,8296,POINT (-122.337 47.7387),0.02565500248227182,Shoreline Police Department,0.023929961689654097,Northwest Hospital and Medical Center,0.0017280687817519884,The Evergreen School,0.012740038538495377,Shoreline Farmers Market,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2990,2990,8/20/2014,3,1.0,1780,6840,2.0,1780,0.0,1947,0.0,98125,47.727,-122.3,1410,7200,POINT (-122.3 47.727),0.035031448502204195,Lake Forest Park Police Department,0.02943145694654808,Kindred Hospital Seattle - Northgate,0.007461938977671671,Olympic Hills Elementary School,0.007665764377352116,Lake City Farmers Market,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2687,2687,6/30/2014,3,1.75,3600,8666,2.0,2400,1200.0,1948,0.0,98033,47.6893,-122.167,2290,8200,POINT (-122.167 47.6893),0.025155367908853,Kirkland Police Department,0.028979362619174494,EvergreenHealth Medical Center,0.0032925697921770644,Mark Twain Elementary School-Lake Washington,0.028399166378455663,Redmond Saturday Market,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3525,3525,4/16/2015,5,3.0,2830,8854,1.0,1500,1330.0,1979,0.0,98040,47.5743,-122.209,2260,8604,POINT (-122.209 47.5743),0.0035968599133770233,Mercer Island Police Station,0.04151845721869626,Swedish Clinic Factoria,0.002632031435469917,French-American School of Puget Sound,0.026131249088775232,Mercer Island Farmers Market,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
3732,3732,4/8/2015,3,1.75,1030,4800,1.0,930,100.0,1927,0.0,98126,47.566,-122.373,1540,4800,POINT (-122.373 47.566),0.03207796255004535,Seattle Police Southwest Precinct,0.015125525417525904,Swedish West Seattle Primary Care,0.011586011517625209,St. Christopher Academy,0.01578051163620145,West Seattle Farmers Market,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
14146,14146,6/10/2014,3,1.75,1870,7189,1.0,1270,600.0,1959,0.0,98118,47.5412,-122.27,1780,6200,POINT (-122.27 47.5412),0.02354222419341017,Seattle Police South Precinct,0.016215913744685652,Kaiser Permanente - Rainier,0.004813528638850382,Graham Hill Elementary School,0.023938448962137492,Columbia City Farmers Market,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4888,4888,5/4/2014,3,2.5,2200,7350,1.0,1570,630.0,1988,0.0,98058,47.4395,-122.161,2350,7557,POINT (-122.161 47.4395),0.010300710753766328,Fairwood Storefront,0.012747639978500204,Valley Medical Fairwood Primary Care,0.004160828031557471,Carriage Crest Elementary School,0.061845878135039015,Renton Farmers Market,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
18373,18373,12/3/2014,2,1.0,1090,3160,1.0,840,250.0,1926,0.0,98109,47.6385,-122.344,1070,3160,POINT (-122.344 47.6385),0.009600378341443469,Seattle Police Harbor Patrol Office,0.013339190460562336,Swedish Clinic Queen Anne,0.004999628689784379,Queen Anne Elementary School,0.012902826494373349,Queen Anne Farmers Market,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12996,12996,5/14/2014,3,2.25,1970,3716,2.0,1970,0.0,1997,0.0,98056,47.4907,-122.167,1780,3716,POINT (-122.167 47.4907),0.0411610310450037,Renton Police Department,0.00995916474425524,Valley Medical Highlands Primary Care,0.006783669606329794,Honey Dew Elementary School,0.042450634252007735,Renton Farmers Market,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6725,6725,12/19/2014,3,2.0,1640,9234,1.0,1060,580.0,1967,0.0,98118,47.5162,-122.274,2230,10354,POINT (-122.274 47.5162),0.02962042960863185,Seattle Police South Precinct,0.0358920317103717,Highline Medical Center Speciality Campus,0.007965635720733163,South Shore K-8 School,0.04270260973240638,Tukwila Village Farmers Market,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12111,12111,5/22/2014,4,2.25,2350,8140,1.0,1430,920.0,1977,0.0,98006,47.5579,-122.129,2640,8700,POINT (-122.129 47.5579),0.027337103556375492,WSP District 2 Headquarters and Communications,0.038140467211108316,Kaiser Permanente - Factoria,0.002725637156363695,Hillside Student Community School,0.06226852570519671,Crossroads Farmers Market,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
17878,17878,6/3/2014,3,1.0,1040,6860,2.0,1040,0.0,1942,0.0,98146,47.5121,-122.375,1030,6512,POINT (-122.375 47.5121),0.02025983630585524,White Center Storefront,0.02376963142691934,Navos Mental Health Solutions,0.002640825695688809,Westside School,0.05069529269495382,West Seattle Farmers Market,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18429,18429,1/28/2015,2,1.75,1400,865,2.0,1110,0.0,2005,0.0,98029,47.5478,-121.999,1380,1107,POINT (-121.999 47.5478),0.03929281781742786,Issaquah Police Department,0.025744025616849967,Swedish Medical Center Issaquah,0.005833808312342961,Grand Ridge Elementary School,0.05061943754682621,Issaquah Farmers Market,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
4887,4887,8/20/2014,2,1.75,3490,88909,1.0,2320,1170.0,1980,0.0,98006,47.5462,-122.112,3490,40185,POINT (-122.112 47.5462),0.044515916651241036,WSP District 2 Headquarters and Communications,0.056683357699204615,Valley Medical Newcastle Primary Care,0.0024652534069935944,Open Window School,0.0625628687893822,Issaquah Farmers Market,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4755,4755,5/5/2014,5,2.5,3180,13806,2.0,3180,0.0,1990,0.0,98033,47.652,-122.182,3180,13798,POINT (-122.182 47.652),0.03633282594913232,Clyde Hill Police Department,0.026371425266924074,UW Eastide Speciality,0.013352995473471845,Benjamin Franklin Elementary School,0.03241034032457008,Bellevue Farmers Market,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10121,10121,5/6/2014,4,2.0,3740,32417,2.0,3740,0.0,2000,0.0,98053,47.6728,-122.012,3180,32417,POINT (-122.012 47.6728),0.07233458573991643,Duvall Police Department,0.09289542858882242,Swedish Pine Lake Primary Care,0.011100388263900772,Ella Baker Elementary School,0.0537825880959542,Sammamish Farmers Market,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
15600,15600,1/28/2015,4,1.0,1730,8706,1.0,1010,720.0,1962,0.0,98058,47.4586,-122.175,1369,8418,POINT (-122.175 47.4586),0.02704759385796793,Fairwood Storefront,0.029422498331312608,Valley Medical Fairwood Primary Care,0.007494614825890313,Tiffany Park Elementary School,0.03916818197660498,Renton Farmers Market,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8874,8874,4/9/2015,3,1.75,1940,9000,1.0,1290,650.0,1965,0.0,98055,47.4361,-122.189,1900,9120,POINT (-122.189 47.4361),0.03796783327773817,Fairwood Storefront,0.021558703429243323,Pacific Medical Center Renton,0.0021482597070067453,Benson Hill Elementary School,0.04755848094356502,Renton Farmers Market,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17773,17773,6/13/2014,3,2.5,2860,4442,2.0,2860,0.0,2000,0.0,98199,47.661,-122.396,1440,4400,POINT (-122.396 47.661),0.06033447712140396,Seattle Police Harbor Patrol Office,0.013326523773831846,Swedish Clinic Ballard,0.007269850860667343,Lawton Elementary School,0.014151607302178366,Ballard Farmers Market,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
9255,9255,5/13/2014,4,1.5,2180,22870,1.0,1280,900.0,1954,1975.0,98042,47.3187,-122.081,2420,22614,POINT (-122.081 47.3187),0.054921982146610135,Covington Police Department,0.04640776404066303,Valley Medical Lake Sawyer Primary Care,0.026523018044712486,Grass Lake Elementary School,0.0753011106506965,Maple Valley Farmers Market,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20104,20104,7/3/2014,3,2.5,1930,1348,2.0,1300,630.0,2005,0.0,98199,47.6513,-122.384,1630,6000,POINT (-122.384 47.6513),0.046698089312476,Seattle Police Harbor Patrol Office,0.01671300099892012,Swedish Medical Center Ballard Campus,0.00816572469105975,Lawton Elementary School,0.015331696667237524,Ballard Farmers Market,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
17214,17214,3/10/2015,4,2.75,2330,7200,1.0,1560,770.0,1977,0.0,98023,47.3203,-122.385,2350,7600,POINT (-122.385 47.3203),0.0606760526127914,Federal Way Police Department,0.05369748708908357,Kaiser Permanente - Federal Way,0.005405278068942917,Twin Lakes Elementary School,0.07586816422935529,Federal Way Farmers Market,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
4206,4206,12/1/2014,3,2.0,930,11475,1.0,930,0.0,1978,0.0,98045,47.4644,-121.745,1280,11250,POINT (-121.745 47.4644),0.1449579812325979,Snoqualmie Police Department,0.14833602570000085,Snoqualmie Valley Hospital,0.01227645159734109,Camp Waskowitz,0.04670402834000476,North Bend Farmers Market,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
15551,15551,9/26/2014,3,2.5,3440,103672,2.0,3440,0.0,1990,0.0,98038,47.3895,-121.986,2710,112820,POINT (-121.986 47.3895),0.05840885438062233,KC Precinct 3 Headquarters,0.07648758064861336,Valley Medical Lake Sawyer Primary Care,0.021940292720212088,Summit Trail Middle School,0.04661608202028218,Maple Valley Farmers Market,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
21335,21335,10/21/2014,2,1.75,1130,276170,1.0,1130,0.0,2006,0.0,98022,47.2673,-122.027,2092,217800,POINT (-122.027 47.2673),0.048423685812438284,Black Diamond Police Department,0.07012352668792231,Enumclaw WIC Services,0.04789948569348301,Black Diamond Elementary School,0.07548902861308371,Enumclaw Plateau Farmers Market,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
4309,4309,12/15/2014,3,1.0,1740,4800,1.0,1740,0.0,1952,0.0,98118,47.5596,-122.27,1600,4800,POINT (-122.27 47.5596),0.03144815518412941,Seattle Police South Precinct,0.011047419829861151,Kaiser Permanente - Rainier,0.007660371533323009,Orca K-8 School,0.01589670924278807,Columbia City Farmers Market,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
21231,21231,12/5/2014,2,2.25,1470,1101,2.0,1340,130.0,2005,0.0,98115,47.6768,-122.301,1470,1582,POINT (-122.301 47.6768),0.028935196316935318,UW Police Department,0.017084753678503588,Swedish Clinic Green Lake,0.005477099525539363,Northwest Montessori - Wedgwood,0.017044220969049256,University District Farmers Market,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
6935,6935,5/8/2014,2,3.0,3160,66646,2.0,3160,0.0,1993,0.0,98077,47.7479,-122.034,3140,38790,POINT (-122.034 47.7479),0.048136159219379145,Duvall Police Department,0.1126121416498811,HealthPoint Redmond,0.01112106196904359,East Ridge Elementary School,0.047313396688408095,Duvall Farmers Market,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20340,20340,11/13/2014,2,1.5,893,965,2.0,893,0.0,2007,0.0,98122,47.6187,-122.301,1340,1436,POINT (-122.301 47.6187),0.0167109097482577,Seattle Police East Precinct,0.007065491473425244,Hearing Speech and Deafness Center,0.00518684412536075,Edmonds S. Meany Middle School,0.008282571244989377,Madrona Farmers Market,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
7576,7576,5/6/2014,4,1.75,1500,11600,1.0,1000,500.0,1955,0.0,98028,47.7373,-122.241,1740,11600,POINT (-122.241 47.7373),0.02468231810514052,Kenmore Police Department,0.040705098689001684,Fairfax Hospital,0.010230611973593094,Moorlands Elementary School,0.04107653089742064,Lake Forest Park Farmers Market,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21448,21448,3/10/2015,4,2.5,3120,5001,2.0,3120,0.0,2005,0.0,98023,47.2779,-122.349,3120,5244,POINT (-122.349 47.2779),0.03439387931202132,Federal Way Police Department,0.026230845239821124,St Francis Hospital,0.01224475511473962,Enterprise Elementary School,0.05698921080521815,Federal Way Farmers Market,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
20999,20999,3/28/2015,2,2.25,1150,711,2.0,1150,0.0,2013,0.0,98027,47.5323,-122.071,1150,748,POINT (-122.071 47.5323),0.036847852870046265,Issaquah Police Department,0.022427326907194768,UW Clinic Issaquah,0.02598703916635581,Issaquah Valley Elementary School,0.027912067636758967,Issaquah Farmers Market,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19061,19061,5/6/2014,3,1.5,800,8850,1.0,800,0.0,1959,0.0,98023,47.3266,-122.348,820,8775,POINT (-122.348 47.3266),0.031172807514120805,Federal Way Police Department,0.020538709542474567,Kaiser Permanente - Federal Way,0.008878520742523089,Lakota Middle School,0.03965708307932729,Federal Way Farmers Market,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7174,7174,2/25/2015,3,1.75,1520,7500,1.0,1520,0.0,1985,0.0,98092,47.2646,-122.219,2180,7506,POINT (-122.219 47.2646),0.028681613333748093,Pacific Police Department,0.04511307045138913,MultiCare Auburn Medical Center,0.004483179830328702,Auburn Riverside High School,0.03348136146426391,Auburn International Farmers Market,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
5025,5025,8/11/2014,3,2.5,2460,5400,1.0,1520,940.0,2001,0.0,98056,47.5231,-122.202,1745,5400,POINT (-122.202 47.5231),0.03655614963945738,Newcastle Police Department,0.037059503363638266,Valley Medical Newcastle Primary Care,0.0072430054832738145,Kennydale Elementary School,0.043814611115530866,Renton Farmers Market,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
17948,17948,5/15/2014,5,3.75,3580,14275,2.0,3190,390.0,1999,0.0,98027,47.5322,-122.056,2740,14300,POINT (-122.056 47.5322),0.0218746859864036,Issaquah Police Department,0.014606374412256444,UW Clinic Issaquah,0.011510241297050266,Issaquah Valley Elementary School,0.01909391427791796,Issaquah Farmers Market,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
13804,13804,5/4/2015,3,1.0,1480,10094,1.0,1480,0.0,1956,0.0,98007,47.5942,-122.136,1430,10083,POINT (-122.136 47.5942),0.009633260995904272,WSP District 2 Headquarters and Communications,0.02905986991554078,Kaiser Permanente - Factoria,0.005555659974788587,Big Picture School,0.02652253227620585,Crossroads Farmers Market,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12079,12079,11/14/2014,3,1.0,1260,9638,2.0,1260,0.0,1920,0.0,98033,47.6773,-122.178,1760,7822,POINT (-122.178 47.6773),0.030259842629148787,Kirkland Police Department,0.03851544277113522,EvergreenHealth Medical Center,0.004815901620036738,Northstar Middle School,0.02803627795723292,Kirkland Wednesday Market,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12227,12227,5/21/2014,4,2.5,2910,5776,2.0,2910,0.0,1998,0.0,98065,47.5388,-121.87,2550,6750,POINT (-121.87 47.5388),0.013024450526019079,Snoqualmie Police Department,0.030554731864330543,Snoqualmie Valley Hospital,0.00857937832138996,Cascade View Elementary School-Snoqualmie,0.09883418902810212,North Bend Farmers Market,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
20236,20236,7/25/2014,3,2.5,3350,7752,1.0,2180,1170.0,2009,0.0,98008,47.6263,-122.099,2570,7988,POINT (-122.099 47.6263),0.033194969396142436,Crossroads Police Substation,0.0559251099060845,Kaiser Permanente - Redmond at Riverpark,0.0033580130787398124,Bennett Elementary School,0.032113303334942576,Crossroads Farmers Market,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
20373,20373,4/2/2015,2,1.5,1340,1402,2.0,1120,220.0,2008,0.0,98144,47.588,-122.304,1340,1213,POINT (-122.304 47.588),0.018867687701113682,Metro Transit Police Unit,0.0059084855270590255,Center Park Council,0.002623059291490273,Hamlin Robinson School,0.02539260952654879,Madrona Farmers Market,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
8857,8857,8/11/2014,3,1.0,1490,8239,1.0,1490,0.0,1963,0.0,98023,47.306,-122.37,1200,8470,POINT (-122.37 47.306),0.0434841861830142,Federal Way Police Department,0.03920519016591478,Kaiser Permanente - Federal Way,0.004600586288294593,Olympic View Elementary School-Federal Way,0.06214895227271763,Federal Way Farmers Market,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
