,date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
1078,4/21/2015,3,1.0,1040,7541,1.0,NO,NONE,Average,6 Low Average,1040,0.0,1951,0.0,98133,47.7565,-122.339,1140,6100
14979,12/26/2014,4,1.0,1730,7350,1.5,NO,NONE,Good,6 Low Average,1730,0.0,1970,,98003,47.3467,-122.307,1440,7752
2175,3/16/2015,3,2.5,3630,11019,1.0,,NONE,Good,9 Better,2150,1480.0,1972,0.0,98040,47.56100000000001,-122.226,3150,13555
4125,9/19/2014,3,3.5,1560,1490,2.0,NO,NONE,Average,8 Good,1240,320.0,1995,0.0,98102,47.6248,-122.319,1560,1662
624,5/21/2014,3,1.0,990,6750,1.0,NO,NONE,Good,6 Low Average,990,0.0,1947,0.0,98133,47.7125,-122.331,1440,6860
5083,8/13/2014,3,2.0,1680,81893,1.0,NO,NONE,Average,7 Average,1680,0.0,1991,0.0,98092,47.3248,-122.179,2480,38637
16962,3/27/2015,4,2.25,1770,7799,2.0,NO,NONE,Average,7 Average,1770,0.0,1998,0.0,98031,47.4192,-122.202,1770,7778
13321,7/14/2014,3,2.0,1540,8400,1.0,NO,NONE,Average,7 Average,1180,360.0,1968,0.0,98052,47.6554,-122.129,1550,8760
8965,5/19/2014,3,2.25,1450,1445,2.0,NO,NONE,Average,7 Average,980,470.0,2005,0.0,98122,47.6184,-122.301,1510,1370
4105,11/5/2014,3,1.75,1520,7137,1.0,,NONE,Average,5 Fair,1520,0.0,1932,0.0,98168,47.4924,-122.311,1240,8602
9270,8/18/2014,2,1.0,1480,4080,1.0,,NONE,Average,7 Average,1050,430.0,1949,0.0,98117,47.6842,-122.393,1310,4080
15276,10/28/2014,3,2.0,1420,6060,1.0,NO,NONE,Very Good,7 Average,830,?,1942,0.0,98146,47.5102,-122.372,1420,6360
3550,11/3/2014,4,2.25,1660,7184,1.0,NO,NONE,Average,7 Average,1110,550.0,1963,0.0,98188,47.4678,-122.294,1640,7200
4353,4/23/2015,2,1.0,1620,6120,1.0,NO,NONE,Average,7 Average,1620,0.0,1951,0.0,98115,47.6731,-122.326,1650,4590
16074,4/13/2015,6,3.0,2960,5000,1.0,NO,NONE,Average,8 Good,1790,1170.0,1968,0.0,98103,47.6971,-122.341,1280,1251
147,8/6/2014,2,2.5,2420,60984,2.0,NO,NONE,Average,7 Average,2420,0.0,2007,0.0,98027,47.5262,-121.943,1940,193842
12567,6/13/2014,2,1.0,710,7200,1.0,NO,NONE,Average,6 Low Average,710,?,1943,0.0,98178,47.4903,-122.245,960,7200
7852,5/5/2014,3,2.25,2010,6000,1.0,NO,NONE,Average,8 Good,1330,680.0,1975,0.0,98052,47.6912,-122.115,2080,8260
21242,7/9/2014,5,3.5,5430,10327,2.0,,AVERAGE,Average,10 Very Good,4010,1420.0,2007,0.0,98006,47.5476,-122.116,4340,10324
7175,6/9/2014,3,1.75,2050,3520,1.0,NO,NONE,Good,7 Average,1070,980.0,1977,0.0,98136,47.5536,-122.399,2050,16083
12462,6/27/2014,3,1.5,1590,8911,1.0,NO,NONE,Average,7 Average,1590,0.0,1956,0.0,98028,47.7394,-122.252,1590,9625
6402,8/20/2014,3,1.75,1540,4800,1.0,NO,NONE,Good,6 Low Average,770,770.0,1925,,98105,47.67,-122.284,1510,4080
1354,2/27/2015,4,2.5,2270,8391,2.0,NO,NONE,Average,8 Good,2270,?,1988,,98029,47.574,-122.013,2420,8391
7217,5/14/2015,4,2.5,2580,11780,2.0,NO,NONE,Average,9 Better,2580,0.0,2003,0.0,98038,47.3658,-122.04,2410,8403
19507,12/4/2014,3,1.0,1600,12566,1.0,NO,NONE,Good,7 Average,1600,0.0,1971,,98045,47.4431,-121.765,1600,10650
18033,2/5/2015,3,1.0,1690,20063,1.5,NO,NONE,Good,7 Average,1690,0.0,1913,0.0,98001,47.3556,-122.294,1700,15899
17987,1/29/2015,3,2.75,2340,12282,1.0,NO,AVERAGE,Average,8 Good,1470,870.0,1978,0.0,98155,47.7379,-122.289,2640,8887
19442,5/6/2015,4,1.75,1900,9861,1.0,NO,NONE,Good,7 Average,1900,0.0,1967,0.0,98038,47.3615,-122.057,1720,7967
11149,1/22/2015,3,1.75,1650,7145,2.0,NO,NONE,Very Good,8 Good,1300,350.0,1977,0.0,98155,47.7733,-122.324,1760,7206
17663,3/31/2015,3,3.25,2970,234788,2.0,NO,GOOD,Average,9 Better,2040,930.0,1991,0.0,98024,47.5353,-121.897,2970,220413
6388,11/26/2014,3,2.5,1560,9600,1.0,NO,NONE,Average,7 Average,1210,?,1964,,98188,47.457,-122.27,2070,9600
8541,6/27/2014,5,1.75,2330,14322,1.0,NO,NONE,Good,7 Average,1180,1150.0,1968,0.0,98059,47.4768,-122.155,1690,10010
9577,1/23/2015,3,1.75,1370,2800,1.0,NO,NONE,Very Good,7 Average,800,570.0,1982,0.0,98122,47.6157,-122.291,2270,3773
8492,8/21/2014,4,3.25,3330,33826,2.0,NO,NONE,Very Good,8 Good,3330,0.0,1924,0.0,98155,47.7596,-122.275,2580,28707
21062,3/11/2015,4,2.5,2090,3777,2.0,NO,NONE,Average,8 Good,2090,0.0,2012,0.0,98038,47.3595,-122.042,2160,3993
1083,5/20/2014,4,3.0,2690,28300,1.0,NO,NONE,Average,8 Good,2690,0.0,1954,1999.0,98166,47.4458,-122.343,2820,27100
3604,4/7/2015,3,1.75,1950,17400,1.0,NO,NONE,Average,7 Average,1210,740.0,1976,0.0,98072,47.7424,-122.091,1900,17250
13973,6/26/2014,3,1.75,2430,5000,2.0,NO,NONE,Good,7 Average,1760,670.0,1945,0.0,98117,47.6785,-122.372,1320,4062
20181,9/9/2014,4,4.0,3770,8899,2.0,NO,NONE,Average,10 Very Good,2940,830.0,2006,0.0,98074,47.6476,-122.079,3300,8308
6292,6/30/2014,4,3.0,2330,3497,2.0,NO,NONE,Average,9 Better,1920,410.0,2003,0.0,98108,47.554,-122.308,2330,5242
20471,4/24/2015,4,3.25,2190,4265,2.0,NO,NONE,Average,9 Better,1540,650.0,2015,0.0,98122,47.6178,-122.29,1730,4265
21561,1/23/2015,4,3.25,1900,2631,2.0,NO,NONE,Average,9 Better,1250,650.0,2014,0.0,98144,47.5869,-122.311,1710,4502
8854,12/29/2014,4,2.75,2560,83200,1.0,NO,NONE,Average,8 Good,1860,700.0,1980,0.0,98072,47.7511,-122.111,1990,38332
991,1/8/2015,4,2.0,2780,11583,1.0,NO,GOOD,Average,8 Good,1190,1590.0,1955,0.0,98125,47.7293,-122.284,2580,10241
2447,5/22/2014,3,2.5,3160,12824,1.0,NO,AVERAGE,Good,9 Better,1820,1340.0,1966,0.0,98004,47.6151,-122.216,3390,11985
1887,4/21/2015,2,1.5,830,920,2.0,NO,NONE,Average,7 Average,830,0.0,2005,0.0,98144,47.5998,-122.306,830,1200
19632,11/18/2014,2,2.5,1400,1262,2.0,NO,NONE,Average,8 Good,1160,240.0,2008,0.0,98106,47.5342,-122.349,1060,1524
10316,3/27/2015,3,2.25,1880,6565,1.0,,NONE,Good,8 Good,1420,460.0,1972,0.0,98008,47.6396,-122.113,2060,7280
15569,12/2/2014,4,2.5,2495,5751,2.0,NO,NONE,Average,7 Average,2495,0.0,2002,,98019,47.7243,-121.957,2490,6300
19324,7/23/2014,2,3.5,2560,5000,1.0,NO,NONE,Good,6 Low Average,1280,1280.0,1944,0.0,98107,47.6681,-122.368,1390,4000
18926,8/14/2014,4,2.5,3680,11648,2.0,NO,NONE,Average,10 Very Good,3680,0.0,1986,0.0,98006,47.5604,-122.107,2830,11251
10351,1/9/2015,3,2.75,2080,16740,1.0,NO,GOOD,Average,8 Good,1580,500.0,1966,0.0,98198,47.3632,-122.324,2175,7568
13850,8/8/2014,3,2.5,2190,5091,2.0,NO,NONE,Average,8 Good,2190,0.0,2004,0.0,98038,47.3506,-122.039,2200,5948
7985,3/3/2015,1,1.0,780,4000,1.0,NO,NONE,Average,5 Fair,780,0.0,1905,,98108,47.5424,-122.321,1150,4000
14556,6/24/2014,4,1.75,1540,5120,1.0,NO,NONE,Very Good,6 Low Average,770,770.0,1943,,98126,47.5359,-122.372,1080,5120
905,3/26/2015,3,2.25,1654,8479,2.0,NO,NONE,Average,7 Average,1654,0.0,1995,,98038,47.3627,-122.037,1654,8479
2938,6/3/2014,4,2.5,2170,9600,1.0,NO,NONE,Average,7 Average,1460,710.0,1980,0.0,98052,47.6789,-122.116,1940,8400
10509,9/2/2014,2,1.0,840,5400,1.0,NO,NONE,Good,7 Average,840,0.0,1948,0.0,98118,47.5489,-122.271,1340,5400
6063,7/16/2014,5,2.25,2500,8621,1.5,NO,NONE,Good,7 Average,2500,0.0,1968,0.0,98034,47.7379,-122.185,1980,7395
19306,10/1/2014,2,2.0,1200,1867,1.0,NO,NONE,Average,7 Average,600,600.0,1924,1998.0,98109,47.627,-122.345,1790,2221
5489,3/24/2015,3,2.25,2470,11603,2.0,NO,AVERAGE,Average,8 Good,1540,930.0,1988,,98052,47.6569,-122.123,2850,11250
10404,12/4/2014,3,2.0,1230,1613,2.0,NO,NONE,Average,8 Good,1010,220.0,2003,0.0,98107,47.6661,-122.37,1610,1873
18883,8/24/2014,4,2.5,1820,9161,1.0,NO,NONE,Good,7 Average,1220,600.0,1975,0.0,98058,47.4333,-122.168,1860,7650
11504,6/30/2014,4,2.75,3220,4392,1.5,NO,NONE,Good,9 Better,2320,900.0,1931,0.0,98105,47.6713,-122.276,2310,5795
6723,3/26/2015,4,2.5,2410,7950,2.0,NO,NONE,Average,8 Good,2410,0.0,1997,0.0,98034,47.7185,-122.226,1920,7713
16210,6/23/2014,3,2.0,1340,8505,1.0,,NONE,Average,6 Low Average,1340,0.0,1931,,98168,47.4727,-122.297,1370,9000
6350,5/13/2014,3,1.0,1900,33888,1.5,NO,NONE,Good,5 Fair,1900,0.0,1942,,98001,47.2738,-122.271,1430,19200
10540,4/28/2015,3,2.0,1600,10318,1.0,,NONE,Average,7 Average,930,670.0,1941,0.0,98133,47.7466,-122.347,1590,7040
18256,7/22/2014,2,1.0,1000,4179,1.0,,NONE,Very Good,5 Fair,1000,0.0,1914,,98002,47.297,-122.227,1010,6327
3102,5/4/2015,4,1.75,1830,12540,1.0,,NONE,Good,8 Good,1130,700.0,1958,,98003,47.3348,-122.324,2020,12540
19692,10/21/2014,5,3.5,4170,9090,2.0,NO,NONE,Average,10 Very Good,4170,0.0,2008,0.0,98004,47.5918,-122.196,1930,13635
517,5/7/2015,3,2.5,2400,7745,2.0,NO,NONE,Average,9 Better,2400,0.0,2001,0.0,98033,47.6734,-122.173,2080,8615
4051,10/1/2014,2,1.0,1370,5922,1.0,,AVERAGE,Average,8 Good,1130,240.0,1941,0.0,98199,47.6473,-122.406,2460,6759
5007,3/2/2015,5,2.0,2500,7860,1.0,,NONE,Average,7 Average,1040,1460.0,1963,0.0,98034,47.7212,-122.226,2060,9684
3789,7/8/2014,3,1.0,1350,8700,1.5,NO,NONE,Average,6 Low Average,1350,0.0,1942,0.0,98188,47.4497,-122.289,1300,8700
11535,10/21/2014,3,2.75,3290,11441,2.0,NO,NONE,Good,10 Very Good,3290,0.0,1988,0.0,98023,47.3052,-122.34,2600,12070
12009,4/25/2015,3,1.0,1200,5525,1.0,NO,NONE,Fair,7 Average,1200,0.0,1947,0.0,98115,47.6981,-122.325,1580,7200
16271,6/20/2014,4,2.75,3260,4900,2.0,NO,NONE,Average,9 Better,3260,0.0,2013,0.0,98059,47.4812,-122.123,3260,6132
11307,4/7/2015,4,2.5,2450,27081,2.0,NO,NONE,Average,8 Good,2450,0.0,1985,0.0,98052,47.7177,-122.104,2630,12025
11272,6/5/2014,5,4.5,4400,15580,2.0,NO,NONE,Average,11 Excellent,3390,1010.0,2003,,98004,47.6232,-122.207,2150,14249
11304,11/19/2014,2,1.5,1078,1263,2.0,NO,NONE,Average,7 Average,1078,0.0,1990,0.0,98028,47.7532,-122.244,1078,1263
13671,8/26/2014,4,2.5,2890,15067,2.0,,NONE,Average,9 Better,2890,0.0,2003,0.0,98024,47.5666,-121.907,3090,15398
9071,6/12/2014,3,3.25,1651,1779,2.0,NO,NONE,Average,8 Good,1341,310.0,2008,0.0,98133,47.7076,-122.346,1650,2908
4750,5/27/2014,3,1.75,1980,8100,1.0,NO,NONE,Good,7 Average,1310,670.0,1949,0.0,98133,47.7353,-122.331,1450,8212
813,10/22/2014,4,2.25,2220,36085,2.0,,NONE,Average,9 Better,2220,0.0,1989,0.0,98075,47.5839,-121.991,3000,36906
10820,7/18/2014,4,2.25,2420,9000,1.0,NO,EXCELLENT,Very Good,9 Better,2000,420.0,1967,,98146,47.4884,-122.363,2400,9035
8474,5/13/2015,4,1.75,1720,8300,1.0,NO,NONE,Good,8 Good,1720,0.0,1965,0.0,98055,47.4654,-122.194,1840,8300
13453,12/23/2014,4,3.25,3020,4000,1.5,NO,NONE,Very Good,8 Good,1920,1100.0,1927,0.0,98112,47.6395,-122.279,2400,4000
5100,11/25/2014,3,2.0,1340,3000,2.0,NO,NONE,Very Good,7 Average,1340,0.0,1905,0.0,98103,47.6857,-122.349,1120,3000
15949,12/3/2014,5,1.0,1460,11726,1.5,NO,NONE,Average,6 Low Average,1290,170.0,1936,0.0,98146,47.5039,-122.361,1460,10450
8522,12/30/2014,3,2.5,1980,4274,2.0,NO,NONE,Average,7 Average,1980,0.0,2003,0.0,98028,47.7767,-122.239,2000,4394
7302,7/24/2014,2,1.0,1440,8842,1.0,NO,NONE,Average,7 Average,840,600.0,1950,0.0,98155,47.7443,-122.325,1650,8461
16742,3/23/2015,3,3.5,1790,1288,3.0,NO,NONE,Average,8 Good,1390,400.0,2000,0.0,98199,47.651,-122.384,1560,1426
10402,7/18/2014,4,3.5,3980,209523,2.0,NO,AVERAGE,Average,9 Better,3980,0.0,2006,0.0,98024,47.5574,-121.89,2220,65775
11444,11/4/2014,3,2.0,1550,8300,1.0,NO,NONE,Good,8 Good,1550,0.0,1965,0.0,98055,47.4654,-122.195,1860,8000
8805,12/4/2014,1,1.0,790,4590,1.0,NO,NONE,Average,6 Low Average,790,0.0,1911,0.0,98118,47.5677,-122.285,1070,4590
16874,12/16/2014,5,4.0,5610,22529,2.0,NO,NONE,Average,11 Excellent,4090,1520.0,1996,0.0,98072,47.7239,-122.092,3860,24751
14438,12/12/2014,3,1.75,1510,8385,1.0,,NONE,Average,7 Average,1510,0.0,1968,0.0,98034,47.7279,-122.195,1570,7480
3107,11/24/2014,3,1.0,960,8291,1.0,NO,NONE,Average,6 Low Average,960,0.0,1950,0.0,98146,47.5006,-122.334,1110,8231
2006,9/30/2014,1,1.0,1090,8750,1.0,NO,NONE,Good,6 Low Average,1090,0.0,1924,,98118,47.54,-122.269,1830,5000
11335,2/10/2015,4,1.75,1570,3250,1.5,NO,NONE,Very Good,8 Good,1570,0.0,1928,0.0,98136,47.5405,-122.393,1570,5720
5384,10/27/2014,4,1.75,1930,10210,1.5,NO,AVERAGE,Average,8 Good,1670,260.0,1941,0.0,98125,47.7078,-122.277,2730,6600
7668,12/4/2014,5,2.0,2020,4000,2.0,NO,NONE,Average,7 Average,2020,0.0,1950,0.0,98144,47.5799,-122.305,1960,4000
2733,7/28/2014,4,2.75,2710,45963,2.0,,NONE,Average,9 Better,2710,0.0,1995,0.0,98045,47.4745,-121.724,2710,33955
5326,5/14/2014,4,2.5,2700,4004,2.0,NO,NONE,Average,9 Better,2700,0.0,2004,0.0,98029,47.5521,-121.995,2260,4459
12981,7/10/2014,4,1.5,2130,5000,2.0,NO,NONE,Good,8 Good,2130,0.0,1920,0.0,98144,47.5828,-122.291,2560,5000
16765,6/24/2014,4,2.5,3190,8195,2.0,NO,NONE,Average,10 Very Good,3190,0.0,2006,0.0,98038,47.3555,-122.003,3400,7607
11805,11/3/2014,3,2.25,1620,10850,1.0,NO,NONE,Average,7 Average,1620,0.0,1966,0.0,98055,47.4437,-122.194,1910,10568
5964,5/8/2014,4,2.5,2320,6270,2.0,NO,NONE,Average,8 Good,2320,0.0,2004,0.0,98042,47.3501,-122.14,2150,6270
1693,4/10/2015,3,1.75,1740,46580,1.0,NO,NONE,Good,7 Average,1740,0.0,1980,0.0,98010,47.3583,-121.927,1576,54685
14443,4/23/2015,3,2.5,2310,11993,2.0,NO,NONE,Average,9 Better,2310,0.0,1988,0.0,98006,47.5438,-122.139,2830,10031
18567,4/17/2015,5,2.5,2510,10240,1.0,NO,NONE,Good,8 Good,1410,1100.0,1984,,98059,47.4732,-122.141,2170,10500
6779,9/12/2014,4,2.5,2330,45860,2.0,NO,NONE,Average,9 Better,2330,0.0,1989,0.0,98075,47.5842,-121.992,2930,5020
4385,2/4/2015,3,2.25,1640,8625,1.0,NO,NONE,Average,8 Good,1320,320.0,1987,0.0,98052,47.6772,-122.153,1770,9476
18195,4/24/2015,4,2.5,3430,35120,2.0,NO,NONE,Average,10 Very Good,3430,0.0,1984,0.0,98033,47.6484,-122.182,3920,35230
10157,12/1/2014,4,1.75,2250,10108,1.0,NO,NONE,Good,8 Good,2250,0.0,1967,0.0,98008,47.5922,-122.118,2050,9750
16445,10/15/2014,4,1.75,1920,7986,1.0,NO,NONE,Average,7 Average,960,960.0,1952,0.0,98125,47.7209,-122.318,1700,7452
3289,1/29/2015,4,2.5,3600,21794,2.0,NO,NONE,Good,11 Excellent,3600,0.0,1990,0.0,98077,47.7121,-122.072,3410,19864
18754,9/10/2014,4,2.5,2370,15200,1.0,NO,NONE,Average,8 Good,1660,710.0,1975,0.0,98052,47.6295,-122.089,2360,13879
17259,3/30/2015,4,1.75,2370,10140,1.0,NO,NONE,Average,7 Average,1460,910.0,1968,0.0,98001,47.3352,-122.278,1450,7800
2499,4/17/2015,4,1.75,2150,8555,1.0,NO,AVERAGE,Good,7 Average,1460,690.0,1982,0.0,98106,47.5344,-122.345,1480,7405
19655,8/15/2014,4,2.5,3420,17038,2.0,NO,NONE,Average,9 Better,3420,0.0,2007,0.0,98034,47.718,-122.241,2520,14190
18678,3/5/2015,3,2.0,1560,32137,1.0,NO,NONE,Very Good,7 Average,910,650.0,1976,0.0,98092,47.3197,-122.117,1470,29150
8369,11/20/2014,3,2.25,1760,5421,2.0,NO,NONE,Average,7 Average,1760,0.0,1991,0.0,98038,47.3484,-122.037,1570,6000
17550,4/27/2015,2,1.75,1560,3200,1.0,NO,NONE,Very Good,7 Average,880,680.0,1946,,98199,47.6419,-122.394,2060,4940
9469,10/9/2014,3,3.0,1910,4800,1.5,NO,NONE,Average,9 Better,1910,0.0,1900,,98103,47.6572,-122.346,1280,1310
11114,6/10/2014,3,2.0,1320,7200,1.0,NO,NONE,Very Good,7 Average,1320,0.0,1975,0.0,98031,47.3947,-122.174,1540,7200
11866,12/18/2014,3,3.5,3490,4000,2.0,NO,NONE,Average,9 Better,2570,920.0,2009,0.0,98112,47.6385,-122.281,1880,4000
52,12/31/2014,3,1.75,1410,4080,1.0,NO,NONE,Good,7 Average,1000,410.0,1950,,98117,47.6808,-122.384,1410,4080
5272,3/10/2015,3,2.5,1640,6991,1.0,NO,NONE,Average,7 Average,1110,530.0,1967,0.0,98125,47.7255,-122.327,1860,7342
18989,3/21/2015,3,2.0,2030,8649,1.0,NO,NONE,Average,7 Average,2030,0.0,1998,0.0,98056,47.5082,-122.166,1760,7200
18636,10/10/2014,3,2.25,2090,45535,1.0,NO,AVERAGE,Very Good,8 Good,1280,810.0,1952,,98006,47.5538,-122.191,3090,12889
2574,8/26/2014,4,1.75,1250,12705,1.0,NO,NONE,Good,7 Average,1250,0.0,1971,0.0,98023,47.302,-122.382,1390,8550
18762,6/26/2014,4,2.0,2100,4857,2.0,NO,NONE,Average,8 Good,2100,0.0,1965,1984.0,98155,47.7521,-122.279,1450,5965
8877,10/13/2014,4,2.5,3810,13579,2.0,NO,NONE,Average,10 Very Good,3810,0.0,2003,0.0,98007,47.6006,-122.153,3310,9270
16556,11/13/2014,4,1.0,1200,11834,1.0,YES,GOOD,Average,6 Low Average,1200,0.0,1972,0.0,98070,47.4557,-122.443,1670,47462
4220,8/21/2014,3,1.75,1995,18360,2.0,NO,NONE,Average,7 Average,1995,0.0,1957,0.0,98198,47.4129,-122.322,1980,13640
5861,8/5/2014,2,1.75,1050,9800,1.5,,NONE,Good,6 Low Average,1050,0.0,1975,0.0,98019,47.7595,-121.473,1230,12726
8030,7/15/2014,5,1.5,1720,5000,1.5,NO,NONE,Average,8 Good,1720,0.0,1915,0.0,98103,47.6627,-122.355,1720,5000
8937,3/30/2015,3,2.25,1490,8722,2.0,,NONE,Average,7 Average,1490,0.0,1997,0.0,98030,47.3648,-122.185,1510,8061
19053,8/11/2014,4,3.0,3110,4408,2.5,NO,GOOD,Good,10 Very Good,2510,600.0,1931,0.0,98105,47.6583,-122.27,3250,5669
16113,12/15/2014,4,1.75,2520,15205,1.0,NO,NONE,Good,7 Average,2040,480.0,1954,0.0,98028,47.7642,-122.264,1680,10000
15259,3/14/2015,3,2.25,1560,11997,1.0,NO,NONE,Average,7 Average,1260,300.0,1988,0.0,98065,47.5378,-121.742,1820,36590
17190,6/26/2014,3,2.75,2590,12063,2.0,NO,NONE,Average,10 Very Good,2590,0.0,1993,,98006,47.5527,-122.12,2850,8469
15283,6/25/2014,3,1.5,1940,2885,1.5,NO,AVERAGE,Average,8 Good,1940,0.0,1900,0.0,98119,47.6308,-122.369,2550,3600
8803,11/24/2014,4,2.25,2510,9963,1.0,NO,NONE,Good,9 Better,2200,310.0,1967,0.0,98005,47.5973,-122.177,3110,9963
20183,8/6/2014,5,2.75,2710,4685,2.0,NO,NONE,Average,8 Good,2710,0.0,2014,0.0,98038,47.3555,-122.062,2710,4449
19608,5/30/2014,3,2.5,2780,11964,2.0,NO,NONE,Average,9 Better,2780,0.0,2009,0.0,98034,47.7127,-122.216,1760,9640
1405,2/5/2015,3,1.5,1360,13496,1.0,NO,NONE,Good,8 Good,1360,0.0,1960,0.0,98198,47.4032,-122.314,1900,10538
1865,8/29/2014,2,1.0,990,8250,1.0,NO,NONE,Average,7 Average,990,0.0,1955,0.0,98133,47.7252,-122.331,1080,8168
4089,10/22/2014,4,2.75,3160,7143,1.5,NO,NONE,Average,8 Good,2100,1060.0,1933,,98199,47.6513,-122.406,2200,6122
13206,12/1/2014,5,2.75,2920,9163,1.0,NO,NONE,Good,8 Good,1520,1400.0,1976,0.0,98006,47.5668,-122.169,2250,9163
7538,4/23/2015,4,4.5,5250,48352,2.0,NO,NONE,Average,10 Very Good,5250,0.0,1998,0.0,98059,47.4858,-122.111,2500,48352
17080,4/17/2015,4,2.5,2360,9600,1.0,NO,AVERAGE,Average,8 Good,1630,730.0,1973,0.0,98040,47.5889,-122.249,2140,6300
7070,1/5/2015,4,3.25,3920,881654,3.0,,GOOD,Average,11 Excellent,3920,?,2002,,98024,47.5385,-121.896,2970,112384
13108,4/7/2015,3,3.0,1320,1012,3.0,NO,NONE,Average,8 Good,1320,0.0,2009,0.0,98117,47.6904,-122.395,1320,1536
15365,1/5/2015,3,1.75,1890,9535,1.0,NO,NONE,Average,7 Average,1210,680.0,1976,0.0,98055,47.4872,-122.223,2040,11108
18761,4/14/2015,5,2.25,3650,13068,1.0,NO,NONE,Good,10 Very Good,1850,1800.0,1976,0.0,98040,47.5458,-122.231,2760,13927
3601,7/28/2014,2,1.0,700,4350,1.0,NO,NONE,Average,6 Low Average,700,0.0,1943,0.0,98116,47.5577,-122.391,1620,5100
14969,4/23/2015,3,2.5,2290,5089,2.0,NO,NONE,Average,9 Better,2290,0.0,2001,0.0,98006,47.5443,-122.172,2290,7984
15289,6/17/2014,3,2.5,2590,7720,2.0,NO,NONE,Average,9 Better,2590,0.0,1988,0.0,98007,47.659,-122.146,2600,9490
17699,11/11/2014,3,2.25,2490,8800,2.0,,NONE,Good,8 Good,2490,0.0,1975,0.0,98006,47.5666,-122.132,2690,10000
20174,4/23/2015,2,1.5,1190,801,3.0,NO,NONE,Average,8 Good,1190,0.0,2010,0.0,98106,47.5212,-122.358,1190,810
19688,4/16/2015,3,3.75,2260,2050,2.0,NO,NONE,Average,9 Better,1170,1090.0,2010,,98118,47.566,-122.29,2130,3082
